label,tag,final_embedding
Feed Product Type,shoes,
Product ID Type - [ shoes ],GTIN,
Product ID Type - [ shoes ],EAN,
Product ID Type - [ shoes ],GCID,
Product ID Type - [ shoes ],UPC,
Product ID Type - [ shoes ],ASIN,
Recommended Browse Nodes - [ shoes ],1983550031,
Heel Type - [ shoes ],Block Heel,
Heel Type - [ shoes ],Platform Heel,
Heel Type - [ shoes ],Cone Heel,
Heel Type - [ shoes ],No Heel,
Heel Type - [ shoes ],Kitten Heel,
Heel Type - [ shoes ],Comma Heel,
Heel Type - [ shoes ],Flat,
Heel Type - [ shoes ],Stiletto Heel,
Heel Type - [ shoes ],Wedge Heel,
Heel Type - [ shoes ],Flare Heel,
Heel Type - [ shoes ],French Heel,
Outer Material Type - [ shoes ],Faux Fur,
Outer Material Type - [ shoes ],Polyurethane (PU),
Outer Material Type - [ shoes ],Faux Leather,
Outer Material Type - [ shoes ],Fur,
Outer Material Type - [ shoes ],Hemp,
Outer Material Type - [ shoes ],Polyester,
Outer Material Type - [ shoes ],Nylon,
Outer Material Type - [ shoes ],Canvas,
Outer Material Type - [ shoes ],Leather,
Outer Material Type - [ shoes ],Mesh,
Outer Material Type - [ shoes ],Shearling,
Outer Material Type - [ shoes ],Cotton,
Outer Material Type - [ shoes ],Suede,
Outer Material Type - [ shoes ],Ethylene Vinyl Acetate (EVA),
Outer Material Type - [ shoes ],Polyvinyl Chloride (PVC),
Outer Material Type - [ shoes ],Neoprene,
Outer Material Type - [ shoes ],Faux Suede,
Outer Material Type - [ shoes ],Linen,
Outer Material Type - [ shoes ],Denim,
Outer Material Type - [ shoes ],Rubber,
Outer Material Type - [ shoes ],Wool,
Outer Material Type - [ shoes ],Acrylic,
Closure Type - [ shoes ],Lace-Up,
Closure Type - [ shoes ],Hook & Loop,
Closure Type - [ shoes ],Pull On,
Closure Type - [ shoes ],Bungee,
Closure Type - [ shoes ],Double Ring,
Closure Type - [ shoes ],Buckle,
Closure Type - [ shoes ],Zipper,
Footwear Size System - [ shoes ],UK Footwear Size System,
Shoe Size Age Group - [ shoes ],Adult,
Shoe Size Age Group - [ shoes ],Big Kid,
Shoe Size Age Group - [ shoes ],Little Kid,
Shoe Size Age Group - [ shoes ],Toddler,
Shoe Size Age Group - [ shoes ],Infant,
Shoe Size Class - [ shoes ],Numeric,
Shoe Size Class - [ shoes ],Numeric Range,
Shoe Size Class - [ shoes ],Alpha,
Shoe Size Class - [ shoes ],Alpha Range,
